,code
898,000415
899,002392
900,603766
901,300471
902,600726
903,002369
904,600337
905,002434
906,601788
907,002232
908,600410
909,002495
910,601666
911,600744
912,600470
913,002690
914,002541
915,002722
916,600897
917,000980
918,600317
919,002497
920,600335
921,601518
922,002270
923,002057
924,002736
925,600820
926,002577
927,601999
928,002632
929,000049
930,300477
931,601313
932,300292
933,002671
934,300358
935,600172
936,601958
937,600814
938,601965
939,002359
940,000665
941,603779
942,600730
943,000058
944,600692
945,600549
946,600276
947,002182
948,300527
949,600789
950,601880
951,600439
952,601636
953,600647
954,002837
955,002457
956,600119
957,603018
958,300295
959,001696
960,000338
961,000719
962,600711
963,601106
964,600255
965,600375
966,002028
967,002533
968,002216
969,601166
970,300122
971,000822
972,002679
973,000750
974,002294
975,002104
976,600010
977,002574
978,600651
979,000917
980,002570
981,300022
982,002428
983,600819
984,600784
985,002190
986,600987
987,002083
988,002176
989,600624
990,603901
991,002066
992,601218
993,002752
994,300259
995,300463
996,603189
997,600188
998,600295
999,600160
1000,002749
1001,000627
1002,600105
1003,300190
1004,300185
1005,600513
1006,600548
1007,600300
1008,300242
1009,600030
1010,600283
1011,601886
1012,002138
1013,600526
1014,600611
1015,600388
1016,300158
1017,002354
1018,002099
1019,600386
1020,601966
1021,600466
1022,300415
1023,000848
1024,300218
1025,002327
1026,603088
1027,000683
1028,300160
1029,000661
1030,600052
1031,300237
1032,002594
1033,600985
1034,600594
1035,600354
1036,600969
1037,300508
1038,000899
1039,600828
1040,300396
1041,300288
1042,600482
1043,600016
1044,000722
1045,002731
1046,600332
1047,600863
1048,300464
1049,300293
1050,002300
1051,000151
1052,002334
1053,000502
1054,002140
1055,600177
1056,600640
1057,002275
1058,300260
1059,600023
1060,601688
1061,600795
1062,600529
1063,600017
1064,000617
1065,002514
1066,002093
1067,000019
1068,002288
1069,601929
1070,000777
1071,300456
1072,600366
1073,600776
1074,600740
1075,002097
1076,000960
1077,002650
1078,002615
1079,000927
1080,000785
1081,300162
1082,002144
1083,600722
1084,000703
1085,002782
1086,600216
1087,002738
1088,000776
1089,000966
1090,600220
1091,600345
1092,002593
1093,600616
1094,601766
1095,000913
1096,300008
1097,600887
1098,002046
1099,600219
1100,000977
1101,300227
1102,000835
1103,000721
1104,603338
1105,600073
1106,000616
1107,600536
1108,000863
1109,600196
1110,300074
1111,601601
1112,300207
1113,603899
1114,000929
1115,300400
1116,002329
1117,002165
1118,000028
1119,600309
1120,000701
1121,300483
1122,300494
1123,300430
1124,600190
1125,600900
1126,603003
1127,603023
1128,002403
1129,000027
1130,002186
1131,600467
1132,002712
1133,601336
1134,002523
1135,300058
1136,300270
1137,603718
1138,000520
1139,600067
1140,600862
1141,002634
1142,600676
1143,600371
1144,300229
1145,002417
1146,002246
1147,002438
1148,600037
1149,600505
1150,002561
1151,300341
1152,600316
1153,002517
1154,600567
1155,000958
1156,000544
1157,600475
1158,601390
1159,002016
1160,002682
1161,600665
1162,600206
1163,600685
1164,300254
1165,002520
1166,000919
1167,600708
1168,000089
1169,002184
1170,002642
1171,000524
1172,600811
1173,600236
1174,601169
1175,600767
1176,600575
1177,300024
1178,603188
1179,300452
1180,300305
1181,600229
1182,600261
1183,300177
1184,002742
1185,600395
1186,600845
1187,300352
1188,000999
1189,600169
1190,002433
1191,601222
1192,601000
1193,600108
1194,002266
1195,600560
1196,601900
1197,600831
1198,600226
1199,000530
1200,002055
1201,002203
1202,300520
1203,600325
1204,002351
1205,000861
1206,300102
1207,600727
1208,002136
1209,601567
1210,002007
1211,600805
1212,002091
1213,002315
1214,002363
1215,600448
1216,600459
1217,002674
1218,300255
1219,601566
1220,300283
1221,601918
1222,300157
1223,300050
1224,002500
1225,002436
1226,600586
1227,600587
1228,000428
1229,000792
1230,000061
1231,600162
1232,002600
1233,300407
1234,603168
1235,002230
1236,002212
1237,600515
1238,600961
1239,000333
1240,000650
1241,300056
1242,600894
1243,300135
1244,300321
1245,002734
1246,002528
1247,002449
1248,601139
1249,000881
1250,600079
1251,600422
1252,002779
1253,600797
1254,002763
1255,603988
1256,300147
1257,002641
1258,600035
1259,000760
1260,300194
1261,002444
1262,600572
1263,300569
1264,002527
1265,002171
1266,002707
1267,300010
1268,300018
1269,600792
1270,600597
1271,601006
1272,300453
1273,600192
1274,600501
1275,600497
1276,300039
1277,601678
1278,300009
1279,600598
1280,600967
1281,002658
1282,300290
1283,002100
1284,002524
1285,002255
1286,000897
1287,000868
1288,600614
1289,000850
1290,300139
1291,603520
1292,000801
1293,000681
1294,600530
1295,601555
1296,002336
1297,601010
1298,600326
1299,300277
1300,603118
1301,002725
1302,000538
1303,600063
1304,600706
1305,002244
1306,002332
1307,000513
1308,000831
1309,002318
1310,600652
1311,600677
1312,600639
1313,002810
1314,600365
1315,000736
1316,600090
1317,002160
1318,300284
1319,603008
1320,002161
1321,002158
1322,002393
1323,600027
1324,300188
1325,002474
1326,000955
1327,000410
1328,002135
1329,300111
1330,600077
1331,000733
1332,600380
1333,600061
1334,600635
1335,000705
1336,300247
1337,002177
1338,600009
1339,000422
1340,000931
1341,300026
1342,603288
1343,600622
1344,600917
1345,600705
1346,600605
1347,300314
1348,002516
1349,002715
1350,000021
1351,000009
1352,002395
1353,601016
1354,000732
1355,600127
1356,300178
1357,002602
1358,300362
1359,300253
1360,601058
1361,600330
1362,300077
1363,002644
1364,002385
1365,600159
1366,300154
1367,002131
1368,000782
1369,600268
1370,002573
1371,000088
1372,002378
1373,601007
1374,600021
1375,002070
1376,300405
1377,603667
1378,600461
1379,002673
1380,600352
1381,002071
1382,002022
1383,600617
1384,600120
1385,601991
1386,002556
1387,002101
1388,600522
1389,300081
1390,600637
1391,600180
1392,600533
1393,000426
1394,002708
1395,000997
1396,300398
1397,300331
1398,600074
1399,300443
1400,000738
1401,600980
1402,600112
1403,600516
1404,002666
1405,600879
1406,000671
1407,600999
1408,603996
1409,002291
1410,300075
1411,600289
1412,002087
1413,600601
1414,000016
1415,601088
1416,300027
1417,002118
1418,600116
1419,600319
1420,600503
1421,002253
1422,002566
1423,002737
1424,600713
1425,002367
1426,600307
1427,002505
1428,000156
1429,603355
1430,000819
1431,002603
1432,300498
1433,601928
1434,600562
1435,002663
1436,300034
1437,000762
1438,000717
1439,601857
1440,000990
1441,000591
1442,002011
1443,002697
1444,002033
1445,002223
1446,000813
